Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Tomatin 12yo,8.06,0.45,19,$$,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 228 Burgundy Finish,8.06,0.37,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glendullan 12yo,8.05,0.41,14,$$,SingleMalt-like,EF,E,Scotland,Malt
Nikka Super,8.04,0.41,8,$$$,SingleMalt-like,EF,E,Japan,Malt
Tullamore Dew 10yo Single Malt,8.03,0.78,6,$$$,SingleMalt-like,EF,E,Ireland,Malt
Glenburgie 10yo (Gordon & MacPhail),8.02,0.37,7,$$$,SingleMalt-like,EF,F,Scotland,Malt
The Irishman Single Malt (NAS),8,0.28,6,$$$,SingleMalt-like,EF,E,Ireland,Malt
Glen Deveron 10yo (Macduff),7.98,0.36,5,$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Founder's Reserve,7.97,0.37,15,$$,SingleMalt-like,EF,E,Scotland,Malt
Millstone 8yo French Oak,7.97,0.63,4,$$$$,SingleMalt-like,EF,E,Netherlands,Malt
Santis Edition Sigel,7.93,0.81,7,$$$,SingleMalt-like,EF,E,Switzerland,Malt
Scapa Skiren,7.92,0.57,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord Signature,7.91,0.28,3,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown 12yo,7.9,0.5,10,$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Moray 12yo Chenin Blanc,7.87,0.75,6,$$,SingleMalt-like,EF,F,Scotland,Malt
Glenrothes Select Reserve,7.8,0.38,14,$$$,SingleMalt-like,EF,E,Scotland,Malt
Penderyn Aur Cymru,7.73,0.59,8,$$$$,SingleMalt-like,EF,E,Wales,Malt
Speyside 10yo,7.71,0.62,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Mars Iwai Tradition,7.69,1.04,4,$$$$,SingleMalt-like,EF,E,Japan,Blend
Mackmyra Special 01,7.63,0.44,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Glen Moray 16yo Chenin Blanc,7.59,0.55,4,$$$,SingleMalt-like,EF,F,Scotland,Malt
Santis Edition SÌ_ntis,7.56,0.82,7,$$$$,SingleMalt-like,EF,F,Switzerland,Malt
McClelland's Speyside Single Malt,6.97,0.81,7,$$,SingleMalt-like,EF,F,Scotland,Malt
Kavalan Solist Moscatel Cask,9.18,0.19,4,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt
Midleton Barry Crockett Legacy,9.08,0.24,10,$$$$$,SingleMalt-like,GH,G,Ireland,Blend
Yamazaki Limited Edition 2015,8.99,0.06,3,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Mackmyra Iskristall,8.92,0.26,3,$$$$$,SingleMalt-like,GH,G,Sweden,Malt
Box The 2nd Step Collection 03,8.91,0.4,3,$$$$$,SingleMalt-like,GH,G,Sweden,Malt
Kirin 18yo (Fuji Sanroku),8.91,0.55,3,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Teeling Silver Reserve 21yo Sauternes Finish,8.91,0.33,10,$$$$$,SingleMalt-like,GH,H,Ireland,Malt
Bruichladdich Laddie Twenty Two,8.88,0.25,11,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Compass Box Double Single (all editions),8.88,0.33,7,$$$$$,SingleMalt-like,GH,G,Scotland,Blend
Balvenie 15yo Single Barrel (Cask),8.85,0.24,24,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Ten (Second Edition),8.85,0.23,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
Kilkerran 12yo,8.84,0.28,14,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Ten,8.82,0.28,18,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glencadam 21yo,8.82,0.25,12,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Arran Malt Orkney Bere Barley,8.81,0.31,8,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Compass Box Enlightenment,8.81,0.18,6,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Old Pulteney 21yo,8.81,0.44,18,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Benromach 5yo,8.8,0.19,4,$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton Ice 17yo,8.8,0.11,3,$$$$$,SingleMalt-like,GH,G,Canada,Malt
Glencadam 30yo,8.8,0.2,3,$$$$$+,SingleMalt-like,GH,H,Scotland,Malt
Kilkerran Work in Progress Bourbon Wood,8.79,0.4,12,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackinlay 'Shackleton' Rare Old Highland Malt Whisky,8.79,0.35,18,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Yamazaki Bourbon Barrel,8.79,0.23,9,$$$$$,SingleMalt-like,GH,G,Japan,Malt
Glenmorangie Tusail,8.78,0.37,12,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Macallan 17yo Fine Oak,8.78,0.5,11,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Kavalan Podium,8.77,0.34,8,$$$$,SingleMalt-like,GH,G,Taiwan,Malt
Westland Garryana,8.77,0.45,7,$$$$$,SingleMalt-like,GH,G,USA,Malt
Bruichladdich Laddie Sixteen,8.76,0.2,13,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Hakushu 10yo,8.76,0.2,4,$$$,SingleMalt-like,GH,H,Japan,Malt
Bladnoch 19yo (Cow label),8.75,0.23,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Ten Years 10yo,8.73,0.16,4,$$$$$,SingleMalt-like,GH,H,Sweden,Malt
Hakushu 12yo,8.72,0.21,20,$$$$,SingleMalt-like,GH,H,Japan,Malt
AnCnoc 16yo,8.71,0.33,14,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenfiddich 26yo Excellence,8.7,0.46,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt
Arran Malt 12yo Cask Strength (all editions),8.69,0.38,14,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Arran Malt 14yo,8.68,0.24,23,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra The First Edition (Den FÌ¦rsta UtgÌ´van),8.67,0.32,17,$$$,SingleMalt-like,GH,H,Sweden,Malt
Stronachie 18yo,8.67,0.27,6,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Tullibardine 20yo,8.66,0.3,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Caol Ila 15yo Unpeated,8.65,0.43,11,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Yamazaki 12yo,8.65,0.28,24,$$$$,SingleMalt-like,GH,G,Japan,Malt
Yamazaki Puncheon,8.65,0.23,10,$$$$$,SingleMalt-like,GH,G,Japan,Malt
Dalwhinnie 15yo,8.64,0.36,20,$$$$,SingleMalt-like,GH,H,Scotland,Malt
AnCnoc 12yo,8.62,0.32,20,$$$,SingleMalt-like,GH,H,Scotland,Malt
BenRiach Cask Strength,8.61,0.45,8,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Hibiki 12yo,8.61,0.24,21,$$$$,SingleMalt-like,GH,G,Japan,Blend
Longrow 10yo,8.6,0.41,13,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Preludium 03,8.6,0.85,5,$$$$$,SingleMalt-like,GH,H,Sweden,Malt
Inchgower 14yo (F&F),8.58,0.5,8,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Linkwood 12yo (F&F),8.58,0.32,7,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Aultmore 18yo,8.57,0.2,6,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Kilkerran Work in Progress,8.57,0.33,14,$$$$,SingleMalt-like,GH,G,Scotland,Malt
BenRiach 10yo,8.56,0.16,12,$$$,SingleMalt-like,GH,G,Scotland,Malt
Mars Maltage Cosmo,8.56,0.27,4,$$$$,SingleMalt-like,GH,G,Japan,Malt
Spirit of Hven Urania,8.56,0.47,3,$$$$$+,SingleMalt-like,GH,H,Sweden,Malt
Tomintoul 25yo,8.56,0.63,5,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt
Nikka Miyagikyo NAS,8.54,0.32,7,$$$$,SingleMalt-like,GH,H,Japan,Malt
Arran Malt 10yo,8.52,0.3,22,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton 15yo Battle of the Glen,8.52,0.27,7,$$$$$,SingleMalt-like,GH,G,Canada,Malt
Bruichladdich Classic Laddie Scottish Barley,8.51,0.29,12,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tomatin Cu Bocan Virgin Oak Edition,8.51,0.48,3,$$$$,SingleMalt-like,GH,H,Scotland,Malt
GlenDronach 14yo Virgin Oak,8.5,0.37,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Special 07,8.5,0.51,7,$$$$,SingleMalt-like,GH,H,Sweden,Malt
Aultmore 12yo,8.49,0.21,14,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Compass Box Rivals,8.49,0.66,3,$$$$$,SingleMalt-like,GH,G,Scotland,Blend
Glencadam 15yo,8.49,0.38,14,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Glendalough 13yo Single Malt,8.49,0.3,9,$$$$,SingleMalt-like,GH,G,Ireland,Malt
Knappogue Castle 12yo,8.49,0.4,12,$$$,SingleMalt-like,GH,G,Ireland,Malt
Ichiro's Malt Chichibu The Floor Malted,8.48,0.39,6,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Glenmorangie 10yo,8.47,0.43,25,$$$,SingleMalt-like,GH,G,Scotland,Malt
Ichiro's Malt Chichibu The First,8.47,0.39,12,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
AnCnoc Peter Arkle (all releases),8.46,0.3,9,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glencadam 10yo,8.46,0.43,13,$$$,SingleMalt-like,GH,H,Scotland,Malt
Macallan 12yo Fine Oak,8.46,0.4,15,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Sheep Dip Blended Malt,8.45,0.35,13,$$,SingleMalt-like,GH,H,Scotland,Malt
Yamazaki NAS,8.45,0.23,6,$$$$,SingleMalt-like,GH,G,Japan,Malt
Bruichladdich Laddie Classic (Edition 01),8.44,0.52,7,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Eight 8yo,8.44,0.45,7,$$$,SingleMalt-like,GH,G,Scotland,Malt
FEW Single Malt,8.44,0.53,6,$$$$,SingleMalt-like,GH,G,USA,Malt
Mackmyra The Swedish Whisky (Brukswhisky),8.44,0.57,10,$$,SingleMalt-like,GH,H,Sweden,Malt
BenRiach 12yo,8.43,0.25,15,$$$,SingleMalt-like,GH,G,Scotland,Malt
Benromach Traditional,8.43,0.44,12,$$,SingleMalt-like,GH,G,Scotland,Malt
Kavalan King Car Conductor,8.43,0.36,9,$$$$,SingleMalt-like,GH,G,Taiwan,Malt
Talisker Skye,8.43,0.28,12,$$,SingleMalt-like,GH,G,Scotland,Malt
Craigellachie 13yo,8.41,0.56,16,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenkinchie Distiller's Edition (all editions),8.41,0.27,13,$$$$,SingleMalt-like,GH,B,Scotland,Malt
Hakushu Distiller's Reserve,8.41,0.2,4,$$$$,SingleMalt-like,GH,H,Japan,Malt
Wemyss Malts The Hive,8.41,0.21,14,$$$,SingleMalt-like,GH,G,Scotland,Malt
Kavalan Single Malt Whisky,8.4,0.5,18,$$$$,SingleMalt-like,GH,G,Taiwan,Malt
Balblair 2000,8.39,0.32,9,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Glen Garioch Founder's Reserve,8.39,0.37,17,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenrothes Alba Reserve,8.38,0.16,8,$$$,SingleMalt-like,GH,G,Scotland,Malt
Hazelburn 8yo (Springbank),8.37,0.38,11,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Strathmill 12yo,8.37,0.28,3,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Hibiki Harmony,8.36,0.54,18,$$$$,SingleMalt-like,GH,G,Japan,Blend
Glen Grant 10yo (G&M),8.35,0.24,3,$$$,SingleMalt-like,GH,H,Scotland,Malt
Tomatin Cask Strength,8.35,0.47,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Hakushu NAS,8.34,0.32,5,$$$,SingleMalt-like,GH,H,Japan,Malt
Glen Grant 12yo,8.33,0.52,8,$$$,SingleMalt-like,GH,H,Scotland,Malt
Mackmyra Special 02,8.33,0.69,3,$$$$$,SingleMalt-like,GH,H,Sweden,Malt
Mackmyra Svensk Ek,8.33,0.24,3,$$$$,SingleMalt-like,GH,H,Sweden,Malt
BenRiach 20yo,8.32,0.7,11,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Wolfburn (NAS),8.31,0.36,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
Auchentoshan Valinch,8.3,0.6,14,$$$,SingleMalt-like,GH,H,Scotland,Malt
Tamdhu 10yo,8.3,0.58,18,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Tomintoul 16yo,8.3,0.41,17,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenfiddich 1963 Original Malt,8.29,0.45,7,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bladnoch Vintage 1992-2007 (Signatory),8.28,0.44,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Cardhu Amber Rock,8.28,0.28,4,$$$,SingleMalt-like,GH,H,Scotland,Malt
Glen Grant 10yo,8.28,0.46,9,$$,SingleMalt-like,GH,H,Scotland,Malt
